country,country_code,year,ewaste_recycling_rate_pct,population,gdp_current_usd
Hungary,HUN,2014,87.0,9833038.0,141128696412.321
Hungary,HUN,2015,83.3,9797755.0,125244126623.289
Hungary,HUN,2016,84.0,9759755.0,128983560865.293
Hungary,HUN,2017,84.2,9726756.0,143335098991.862
Hungary,HUN,2018,83.5,9706964.0,161184691013.835
Hungary,HUN,2019,68.12,9694824.0,164936682033.992
Hungary,HUN,2020,68.13,9670419.0,158468487754.196
Iceland,ISL,2010,66.6,318041.0,13751161917.7398
Iceland,ISL,2011,71.3,319014.0,15221622925.9319
Iceland,ISL,2012,73.8,320716.0,14751508133.5443
Iceland,ISL,2013,63.8,323764.0,16125060515.3117
Iceland,ISL,2014,73.7,327386.0,17867662177.8911
Iceland,ISL,2015,76.2,330815.0,17517210519.0912
Iceland,ISL,2016,79.2,335439.0,20793168030.9524
Iceland,ISL,2017,92.0,343400.0,24728285177.4603
Iceland,ISL,2018,90.4,352721.0,26260850582.0687
Iceland,ISL,2020,91.92,366463.0,21629953194.0659
Ireland,IRL,2010,80.3,4560155.0,221985621537.5
Ireland,IRL,2011,82.1,4580084.0,241337364609.738
Ireland,IRL,2012,83.4,4599533.0,227270922957.327
Ireland,IRL,2013,83.3,4623816.0,243301556084.989
Ireland,IRL,2014,83.7,4657740.0,266787238499.03
Ireland,IRL,2015,83.2,4701957.0,302391428540.035
Ireland,IRL,2016,85.1,4762722.0,305733136180.907
Ireland,IRL,2017,83.8,4827445.0,348532394023.595
Ireland,IRL,2018,82.9,4898022.0,395461216460.418
Italy,ITA,2010,86.2,59819407.0,2144936254535.0
Italy,ITA,2011,93.1,60026841.0,2306974020278.21
Italy,ITA,2012,80.0,60191247.0,2097929495121.68
Italy,ITA,2013,88.0,60311613.0,2153225581941.46
Italy,ITA,2014,82.3,60320707.0,2173255507985.84
Italy,ITA,2015,85.7,60229605.0,1845428048839.1
Italy,ITA,2017,88.9,60002252.0,1970720904584.71
Italy,ITA,2018,84.3,60148658.0,2099435266458.67
Latvia,LVA,2010,84.6,2097555.0,23468324572.3343
Latvia,LVA,2011,81.5,2059709.0,26575547900.8247
Latvia,LVA,2012,83.6,2034319.0,27116149948.6683
Latvia,LVA,2013,90.3,2012647.0,29152128167.8438
Latvia,LVA,2014,90.3,1993782.0,30277203767.4058
Latvia,LVA,2015,82.2,1977527.0,26344565876.8902
Latvia,LVA,2016,88.5,1959537.0,27117105059.5075
Latvia,LVA,2017,80.8,1942248.0,29391059767.4259
Latvia,LVA,2018,81.4,1927174.0,33247935477.3576
Liechtenstein,LIE,2010,100.0,36022.0,5082337238.44718
Liechtenstein,LIE,2011,75.0,36312.0,5739706004.89616
Liechtenstein,LIE,2012,75.0,36657.0,5456102482.28614
Liechtenstein,LIE,2013,75.0,36984.0,6391708310.67727
Liechtenstein,LIE,2014,75.0,37248.0,6657526979.72277
Liechtenstein,LIE,2015,73.0,37494.0,6268515276.17441
Liechtenstein,LIE,2016,73.0,37716.0,6237302033.50132
Liechtenstein,LIE,2017,73.0,37962.0,6474308717.85289
