country,country_code,year,material,recovered_material_tonnes,documented_recycled_tonnes,e_waste_generated_tonnes,recycling_rate_pct
Latvia,LVA,2012,copper,,,,83.6
Latvia,LVA,2013,copper,,,,90.3
Latvia,LVA,2014,copper,,,,90.3
Latvia,LVA,2015,copper,,,,82.2
Latvia,LVA,2016,copper,,,,88.5
Latvia,LVA,2017,copper,,,,80.8
Latvia,LVA,2018,copper,,,,81.4
Liechtenstein,LIE,2010,copper,,,,100.0
Liechtenstein,LIE,2011,copper,,,,75.0
Liechtenstein,LIE,2012,copper,,,,75.0
Liechtenstein,LIE,2013,copper,,,,75.0
Liechtenstein,LIE,2014,copper,,,,75.0
Liechtenstein,LIE,2015,copper,,,,73.0
Liechtenstein,LIE,2016,copper,,,,73.0
Liechtenstein,LIE,2017,copper,,,,73.0
Liechtenstein,LIE,2018,copper,,,,73.0
Lithuania,LTU,2010,copper,,,,72.4
Lithuania,LTU,2011,copper,,,,70.3
Lithuania,LTU,2012,copper,,,,68.7
Lithuania,LTU,2013,copper,,,,69.5
Lithuania,LTU,2014,copper,,,,75.7
Lithuania,LTU,2015,copper,,,,80.7
Lithuania,LTU,2016,copper,,,,82.3
Lithuania,LTU,2017,copper,,,,82.2
Luxembourg,LUX,2010,copper,,,,85.7
Luxembourg,LUX,2011,copper,,,,86.0
Luxembourg,LUX,2012,copper,,,,86.8
Luxembourg,LUX,2013,copper,,,,87.6
Luxembourg,LUX,2014,copper,,,,88.0
Luxembourg,LUX,2015,copper,,,,86.9
Luxembourg,LUX,2016,copper,,,,87.4
Luxembourg,LUX,2017,copper,,,,89.1
Luxembourg,LUX,2018,copper,,,,88.0
Luxembourg,LUX,2019,copper,,,,60.12
Luxembourg,LUX,2020,copper,,,,61.85
Malta,MLT,2010,copper,,,,56.4
Malta,MLT,2011,copper,,,,122.8
Malta,MLT,2012,copper,,,,71.7
Malta,MLT,2013,copper,,,,97.5
Malta,MLT,2014,copper,,,,107.1
Malta,MLT,2015,copper,,,,65.1
Malta,MLT,2016,copper,,,,103.4
Malta,MLT,2017,copper,,,,72.1
Netherlands,NLD,2010,copper,,,,79.9
Netherlands,NLD,2011,copper,,,,81.8
Netherlands,NLD,2012,copper,,,,83.0
Netherlands,NLD,2013,copper,,,,83.1
Netherlands,NLD,2014,copper,,,,82.4
Netherlands,NLD,2015,copper,,,,82.1
Netherlands,NLD,2016,copper,,,,80.9
Netherlands,NLD,2017,copper,,,,81.6
Netherlands,NLD,2018,copper,,,,75.6
Norway,NOR,2010,copper,,,,81.5
Norway,NOR,2011,copper,,,,81.7
Norway,NOR,2012,copper,,,,78.9
Norway,NOR,2013,copper,,,,80.8
Norway,NOR,2014,copper,,,,80.1
Norway,NOR,2015,copper,,,,82.4
